변수,중요도
최근14일평균,0.6679079324471406
요일,0.06955826206051206
일,0.055034950108122184
14일전단속건수,0.054770340656708154
최근7일평균,0.05017298968896296
7일전단속건수,0.03580595616750231
월,0.03295756029958345
전일단속건수,0.02953185402412259
주말여부,0.004260154547345748
