우선순위,구_y,단속장소,예측단속건수,최대예측단속건수,위험점수,위험등급,위험시간,추천대응
64,의창구,팔용동아티움시티102동앞,0.5,2.6,6.0,낮음,15시,일반 모니터링 및 계도
65,의창구,팔용동 513,0.5,3.1,5.9,낮음,9시,일반 모니터링 및 계도
66,의창구,중동SJ빌딩,0.5,2.5,5.8,낮음,14시,일반 모니터링 및 계도
67,의창구,소답동 162,0.5,1.7,5.8,낮음,19시,일반 모니터링 및 계도
68,의창구,소답동 173,0.5,1.4,5.6,낮음,0시,일반 모니터링 및 계도
69,의창구,창원시 육아종합지원센터,0.5,1.5,5.6,낮음,9시,일반 모니터링 및 계도
70,의창구,봉곡동 502-40,0.4,1.9,5.5,낮음,21시,일반 모니터링 및 계도
71,의창구,서상동 현대약국,0.4,1.3,5.4,낮음,14시,일반 모니터링 및 계도
72,의창구,봉림동 대봉로,0.4,1.4,5.2,낮음,14시,일반 모니터링 및 계도
73,의창구,서상동 428,0.4,1.3,5.1,낮음,5시,일반 모니터링 및 계도
74,의창구,동읍 용잠로35번길,0.4,1.2,5.0,낮음,9시,일반 모니터링 및 계도
75,의창구,도계동 451,0.4,1.8,5.0,낮음,11시,일반 모니터링 및 계도
76,의창구,동전산단한국화낙,0.4,2.6,4.8,낮음,10시,일반 모니터링 및 계도
77,의창구,팔용동 41-22,0.4,2.3,4.8,낮음,12시,일반 모니터링 및 계도
78,의창구,중동 의창대로272번길,0.4,2.0,4.8,낮음,9시,일반 모니터링 및 계도
79,의창구,중동 405-3,0.4,1.5,4.6,낮음,23시,일반 모니터링 및 계도
80,의창구,용동 중앙역 주변,0.4,1.4,4.6,낮음,14시,일반 모니터링 및 계도
81,의창구,명서동 500-8,0.4,1.3,4.3,낮음,21시,일반 모니터링 및 계도
82,의창구,팔용동 505,0.3,2.3,4.3,낮음,20시,일반 모니터링 및 계도
83,의창구,용동현대썬앤빌주변,0.3,1.1,4.3,낮음,15시,일반 모니터링 및 계도
84,의창구,서상동 717,0.3,2.8,4.2,낮음,6시,일반 모니터링 및 계도
85,의창구,팔용동 124-2,0.3,1.4,4.1,낮음,20시,일반 모니터링 및 계도
86,의창구,팔용동 차룡로48번길,0.3,1.8,4.0,낮음,10시,일반 모니터링 및 계도
87,의창구,서상동 평산로159번길,0.3,1.1,4.0,낮음,9시,일반 모니터링 및 계도
88,의창구,봉곡동 원이대로279번길,0.3,1.9,3.9,낮음,14시,일반 모니터링 및 계도
89,의창구,도계동 도계로,0.3,2.4,3.9,낮음,20시,일반 모니터링 및 계도
90,의창구,명서동 도계로,0.3,1.4,3.9,낮음,13시,일반 모니터링 및 계도
91,의창구,H202주차장,0.3,1.8,3.9,낮음,14시,일반 모니터링 및 계도
92,의창구,중동 디세븐파크 주변,0.3,1.8,3.8,낮음,10시,일반 모니터링 및 계도
93,의창구,도계동 도계로60번길,0.3,1.7,3.7,낮음,14시,일반 모니터링 및 계도
94,의창구,서상동 의창대로254번길,0.3,1.6,3.7,낮음,9시,일반 모니터링 및 계도
95,의창구,사림동 506,0.3,1.5,3.6,낮음,16시,일반 모니터링 및 계도
96,의창구,도계동 441,0.3,1.2,3.6,낮음,20시,일반 모니터링 및 계도
97,의창구,명곡동 명곡지구로,0.3,1.9,3.5,낮음,15시,일반 모니터링 및 계도
98,의창구,동정동 319,0.3,0.4,3.5,낮음,19시,일반 모니터링 및 계도
99,의창구,소답동 SK세강주유소,0.3,1.8,3.5,낮음,19시,일반 모니터링 및 계도
100,의창구,서상동 평산로185번길,0.3,1.7,3.4,낮음,18시,일반 모니터링 및 계도
101,의창구,도계동 449,0.3,1.8,3.4,낮음,19시,일반 모니터링 및 계도
102,의창구,봉림동 791-42,0.3,1.0,3.4,낮음,12시,일반 모니터링 및 계도
103,의창구,봉림동 소봉로7번길,0.3,1.0,3.3,낮음,13시,일반 모니터링 및 계도
104,의창구,명서동 명지로,0.3,1.5,3.3,낮음,10시,일반 모니터링 및 계도
105,의창구,봉곡동 502-43,0.3,1.1,3.3,낮음,20시,일반 모니터링 및 계도
106,의창구,중동 447-6,0.3,0.6,3.3,낮음,13시,일반 모니터링 및 계도
107,의창구,팔용동 503-4,0.3,2.9,3.3,낮음,9시,일반 모니터링 및 계도
108,의창구,명서동 명서로,0.3,1.2,3.2,낮음,10시,일반 모니터링 및 계도
109,의창구,무동동원로얄듀크,0.3,1.3,3.2,낮음,9시,일반 모니터링 및 계도
110,의창구,봉곡동상북초등학교,0.3,1.9,3.2,낮음,8시,일반 모니터링 및 계도
111,의창구,팔용동 512,0.3,1.5,3.2,낮음,19시,일반 모니터링 및 계도
112,의창구,사림동 501-6,0.3,4.9,3.1,낮음,18시,일반 모니터링 및 계도
113,의창구,중동 메트로병원 주변,0.3,1.3,3.1,낮음,10시,일반 모니터링 및 계도
114,의창구,북면 감계리 723-2,0.2,1.6,3.1,낮음,18시,일반 모니터링 및 계도
115,의창구,도계동 452,0.2,3.6,3.0,낮음,20시,일반 모니터링 및 계도
116,의창구,중동 의창대로264번길,0.2,1.0,3.0,낮음,9시,일반 모니터링 및 계도
117,의창구,소답동 171,0.2,1.7,3.0,낮음,8시,일반 모니터링 및 계도
118,의창구,팔용동 의창대로54번길,0.2,2.5,2.9,낮음,10시,일반 모니터링 및 계도
119,의창구,사림동 507,0.2,1.0,2.9,낮음,19시,일반 모니터링 및 계도
120,의창구,동전산단북면파출소,0.2,1.0,2.9,낮음,13시,일반 모니터링 및 계도
121,의창구,팔용동 나들가게 주변,0.2,0.5,2.8,낮음,8시,일반 모니터링 및 계도
122,의창구,북면근린공원앞주변,0.2,2.8,2.8,낮음,18시,일반 모니터링 및 계도
123,의창구,봉곡동 502-38,0.2,1.3,2.8,낮음,21시,일반 모니터링 및 계도
124,의창구,서상동 714,0.2,1.1,2.8,낮음,20시,일반 모니터링 및 계도
125,의창구,유니시티1단지 상가,0.2,0.8,2.7,낮음,15시,일반 모니터링 및 계도
126,의창구,봉곡동 봉곡로,0.2,1.3,2.7,낮음,9시,일반 모니터링 및 계도
127,의창구,팔용동 나들가게주변,0.2,0.8,2.6,낮음,8시,일반 모니터링 및 계도
128,의창구,봉림동 791-32,0.2,1.2,2.5,낮음,18시,일반 모니터링 및 계도
129,의창구,중동 739-26,0.2,0.7,2.4,낮음,12시,일반 모니터링 및 계도
130,의창구,팔용동 701-1,0.2,1.4,2.4,낮음,8시,일반 모니터링 및 계도
131,의창구,봉곡동 36-7,0.2,1.2,2.3,낮음,19시,일반 모니터링 및 계도
132,의창구,사림동 용동로83번안길,0.2,1.2,2.2,낮음,14시,일반 모니터링 및 계도
133,의창구,사림동 퇴촌로45번길,0.2,0.9,2.2,낮음,13시,일반 모니터링 및 계도
134,의창구,팔용동 하늘공원 주변,0.2,1.1,2.2,낮음,16시,일반 모니터링 및 계도
135,의창구,감계 데시앙102동앞,0.2,0.6,2.1,낮음,9시,일반 모니터링 및 계도
136,의창구,팔용동 나들가게,0.2,0.9,2.1,낮음,8시,일반 모니터링 및 계도
137,의창구,도계동 434,0.2,1.0,2.1,낮음,4시,일반 모니터링 및 계도
138,의창구,중동 미디어센터 주변,0.2,0.9,2.1,낮음,10시,일반 모니터링 및 계도
139,의창구,소답동 172,0.2,0.9,2.1,낮음,22시,일반 모니터링 및 계도
140,의창구,도계동 원이대로69번길,0.2,1.1,2.1,낮음,14시,일반 모니터링 및 계도
141,의창구,팔용동 514-2,0.2,1.1,2.0,낮음,19시,일반 모니터링 및 계도
142,의창구,명서동 502-1,0.2,0.9,2.0,낮음,17시,일반 모니터링 및 계도
143,의창구,서상동 428-1,0.2,0.9,2.0,낮음,6시,일반 모니터링 및 계도
144,의창구,중동 480-22,0.2,1.3,2.0,낮음,13시,일반 모니터링 및 계도
145,의창구,북면 화천리 917-15,0.2,0.7,2.0,낮음,9시,일반 모니터링 및 계도
146,의창구,중동 510-1,0.2,0.6,2.0,낮음,13시,일반 모니터링 및 계도
147,의창구,중동 디세븐파크  주변,0.2,1.8,1.9,낮음,10시,일반 모니터링 및 계도
148,의창구,북면 감계리 723-1,0.2,1.0,1.9,낮음,18시,일반 모니터링 및 계도
149,의창구,명서동 500-2,0.2,1.8,1.9,낮음,13시,일반 모니터링 및 계도
150,의창구,중동 406-4,0.2,0.7,1.9,낮음,0시,일반 모니터링 및 계도
151,의창구,명서동 501,0.2,1.1,1.9,낮음,22시,일반 모니터링 및 계도
152,의창구,도계동 455,0.2,1.2,1.9,낮음,20시,일반 모니터링 및 계도
153,의창구,봉곡동 502-44,0.1,1.1,1.8,낮음,21시,일반 모니터링 및 계도
154,의창구,명서동 지귀로,0.1,0.8,1.8,낮음,20시,일반 모니터링 및 계도
155,의창구,사림동 518-11,0.1,0.8,1.7,낮음,12시,일반 모니터링 및 계도
156,의창구,봉림동 791-39,0.1,0.6,1.7,낮음,12시,일반 모니터링 및 계도
157,의창구,봉곡동 502-42,0.1,0.9,1.7,낮음,21시,일반 모니터링 및 계도
158,의창구,서상동 401,0.1,0.9,1.7,낮음,5시,일반 모니터링 및 계도
159,의창구,도계동 원이대로55번길,0.1,0.7,1.6,낮음,14시,일반 모니터링 및 계도
160,의창구,사림동 501-28,0.1,1.3,1.6,낮음,14시,일반 모니터링 및 계도
161,의창구,서상동 659-6,0.1,0.2,1.6,낮음,19시,일반 모니터링 및 계도
162,의창구,팔용동 501-3,0.1,1.4,1.6,낮음,7시,일반 모니터링 및 계도
163,의창구,의창스포츠센터 주변,0.1,0.9,1.6,낮음,17시,일반 모니터링 및 계도
164,의창구,의창소방서,0.1,1.0,1.6,낮음,17시,일반 모니터링 및 계도
165,의창구,도계동 431,0.1,0.6,1.6,낮음,19시,일반 모니터링 및 계도
166,의창구,도계동 허리편한신경외과 주변,0.1,1.3,1.6,낮음,18시,일반 모니터링 및 계도
167,의창구,중동 중동로5번길,0.1,1.3,1.5,낮음,14시,일반 모니터링 및 계도
168,의창구,명서동 500-4,0.1,1.7,1.5,낮음,15시,일반 모니터링 및 계도
169,의창구,봉림동 791-33,0.1,1.1,1.5,낮음,14시,일반 모니터링 및 계도
170,의창구,팔용동 41-23,0.1,0.5,1.5,낮음,8시,일반 모니터링 및 계도
171,의창구,동정동 흥한웰가 맞은편,0.1,0.6,1.5,낮음,10시,일반 모니터링 및 계도
172,의창구,봉곡동 37-3,0.1,0.5,1.5,낮음,19시,일반 모니터링 및 계도
173,의창구,팔용동 517,0.1,1.9,1.5,낮음,16시,일반 모니터링 및 계도
174,의창구,서상동 719-2,0.1,0.7,1.5,낮음,14시,일반 모니터링 및 계도
175,의창구,도계동 447,0.1,0.7,1.5,낮음,18시,일반 모니터링 및 계도
176,의창구,용동 55-4,0.1,1.3,1.5,낮음,18시,일반 모니터링 및 계도
177,의창구,도계동 도계로18번길,0.1,0.6,1.5,낮음,14시,일반 모니터링 및 계도
178,의창구,어반브릭스 하천주변,0.1,0.5,1.4,낮음,9시,일반 모니터링 및 계도
179,의창구,중동스타유니시티,0.1,1.0,1.4,낮음,14시,일반 모니터링 및 계도
180,의창구,팔용동 반계로80번길,0.1,0.3,1.4,낮음,7시,일반 모니터링 및 계도
181,의창구,팔용동 217,0.1,1.0,1.4,낮음,18시,일반 모니터링 및 계도
182,의창구,봉곡동 봉곡로54번길,0.1,0.2,1.4,낮음,9시,일반 모니터링 및 계도
183,의창구,팔용동 팔용로399번길,0.1,0.6,1.4,낮음,10시,일반 모니터링 및 계도
184,의창구,봉림동한들초등학교,0.1,0.6,1.4,낮음,15시,일반 모니터링 및 계도
185,의창구,도계동 425,0.1,0.9,1.4,낮음,15시,일반 모니터링 및 계도
186,의창구,도계동 440,0.1,1.0,1.4,낮음,10시,일반 모니터링 및 계도
187,의창구,소답초등학교,0.1,0.7,1.4,낮음,8시,일반 모니터링 및 계도
188,의창구,도계동 허리편한신경외과,0.1,0.5,1.3,낮음,14시,일반 모니터링 및 계도
189,의창구,팔용동웰빙프라자,0.1,1.0,1.3,낮음,10시,일반 모니터링 및 계도
190,의창구,팔용동 511,0.1,0.6,1.3,낮음,11시,일반 모니터링 및 계도
191,의창구,팔용동 526-6,0.1,0.6,1.3,낮음,12시,일반 모니터링 및 계도
192,의창구,명서동 500-6,0.1,0.9,1.3,낮음,9시,일반 모니터링 및 계도
193,의창구,소답동 170,0.1,0.6,1.3,낮음,21시,일반 모니터링 및 계도
194,의창구,팔용동 700-1,0.1,0.7,1.3,낮음,8시,일반 모니터링 및 계도
195,의창구,도계동 448,0.1,0.6,1.3,낮음,19시,일반 모니터링 및 계도
196,의창구,소계동 748,0.1,0.5,1.3,낮음,8시,일반 모니터링 및 계도
197,의창구,봉림동 791-49,0.1,0.7,1.2,낮음,12시,일반 모니터링 및 계도
198,의창구,북면 동전리 716-3,0.1,0.2,1.2,낮음,9시,일반 모니터링 및 계도
199,의창구,사림동 508,0.1,0.6,1.2,낮음,8시,일반 모니터링 및 계도
200,의창구,팔용동 8-14,0.1,0.1,1.2,낮음,12시,일반 모니터링 및 계도
201,의창구,북면 감계로,0.1,0.7,1.2,낮음,10시,일반 모니터링 및 계도
202,의창구,사림동 501-19,0.1,1.0,1.2,낮음,12시,일반 모니터링 및 계도
203,의창구,중동 유니시티3.4단지,0.1,1.2,1.2,낮음,16시,일반 모니터링 및 계도
204,의창구,팔용동 화물공영주차장 주변,0.1,1.3,1.2,낮음,10시,일반 모니터링 및 계도
205,의창구,동전산단KF농업개발,0.1,0.3,1.2,낮음,9시,일반 모니터링 및 계도
206,의창구,북동 46-5,0.1,0.9,1.1,낮음,0시,일반 모니터링 및 계도
207,의창구,팔용동 사화로,0.1,0.4,1.1,낮음,7시,일반 모니터링 및 계도
208,의창구,팔용동 532-7,0.1,0.7,1.1,낮음,8시,일반 모니터링 및 계도
209,의창구,팔용동 529-5,0.1,0.7,1.1,낮음,8시,일반 모니터링 및 계도
210,의창구,도계동 산 138-12,0.1,0.6,1.1,낮음,9시,일반 모니터링 및 계도
211,의창구,팔용동 보경테크 주변,0.1,0.4,1.1,낮음,10시,일반 모니터링 및 계도
212,의창구,팔용동 프라임하우스 주변,0.1,1.4,1.1,낮음,10시,일반 모니터링 및 계도
213,의창구,도계동 원이대로81번길,0.1,0.7,1.1,낮음,16시,일반 모니터링 및 계도
214,의창구,북면무동초삼거리주변,0.1,0.5,1.1,낮음,15시,일반 모니터링 및 계도
215,의창구,중동 평산로204번길,0.1,0.8,1.0,낮음,10시,일반 모니터링 및 계도
216,의창구,도계동 도계로107번길,0.1,1.3,1.0,낮음,10시,일반 모니터링 및 계도
217,의창구,사림동 518-9,0.1,0.3,1.0,낮음,12시,일반 모니터링 및 계도
218,의창구,팔용동 514-10,0.1,0.4,1.0,낮음,5시,일반 모니터링 및 계도
219,의창구,동정동 292-6,0.1,0.3,1.0,낮음,19시,일반 모니터링 및 계도
220,의창구,도계동 도계로83번길,0.1,0.2,1.0,낮음,9시,일반 모니터링 및 계도
221,의창구,팔용동 532-3,0.1,0.9,1.0,낮음,8시,일반 모니터링 및 계도
222,의창구,북면 무동리 309,0.1,1.1,1.0,낮음,16시,일반 모니터링 및 계도
223,의창구,명곡동 태복산로,0.1,0.2,1.0,낮음,9시,일반 모니터링 및 계도
224,의창구,동읍 덕천교차로 주변,0.1,0.6,1.0,낮음,14시,일반 모니터링 및 계도
225,의창구,도계동 창원중학교 주변,0.1,0.2,1.0,낮음,17시,일반 모니터링 및 계도
226,의창구,봉곡동 510,0.1,0.5,1.0,낮음,19시,일반 모니터링 및 계도
227,의창구,팔용동 514-16,0.1,0.4,1.0,낮음,20시,일반 모니터링 및 계도
228,의창구,팔용동 남산로27번길,0.1,0.5,1.0,낮음,7시,일반 모니터링 및 계도
229,의창구,팔용동 123-1,0.1,0.4,0.9,낮음,2시,일반 모니터링 및 계도
230,의창구,팔용동 스마트업 주변,0.1,0.6,0.9,낮음,10시,일반 모니터링 및 계도
231,의창구,소답동 164,0.1,0.5,0.9,낮음,0시,일반 모니터링 및 계도
232,의창구,사림동 518-17,0.1,3.0,0.9,낮음,14시,일반 모니터링 및 계도
233,의창구,대산면 가술리 708-24,0.1,0.6,0.9,낮음,10시,일반 모니터링 및 계도
234,의창구,팔용동 508,0.1,0.3,0.9,낮음,15시,일반 모니터링 및 계도
235,의창구,소답동 BYC 주변,0.1,0.1,0.9,낮음,18시,일반 모니터링 및 계도
236,의창구,중동 795-1,0.1,0.7,0.9,낮음,20시,일반 모니터링 및 계도
237,의창구,서상동 716-5,0.1,0.3,0.9,낮음,19시,일반 모니터링 및 계도
238,의창구,명서동 502-13,0.1,0.7,0.9,낮음,11시,일반 모니터링 및 계도
239,의창구,서상동 641-1,0.1,0.6,0.9,낮음,15시,일반 모니터링 및 계도
240,의창구,팔용동 500-2,0.1,0.3,0.8,낮음,12시,일반 모니터링 및 계도
241,의창구,팔용동 527-2,0.1,0.4,0.8,낮음,7시,일반 모니터링 및 계도
242,의창구,명서동 512,0.1,0.7,0.8,낮음,11시,일반 모니터링 및 계도
243,의창구,도계동 442,0.1,0.6,0.8,낮음,8시,일반 모니터링 및 계도
244,의창구,도계동 913-5,0.1,1.3,0.8,낮음,11시,일반 모니터링 및 계도
245,의창구,팔용동 대신금속 주변,0.1,1.3,0.8,낮음,10시,일반 모니터링 및 계도
246,의창구,소답동 368-2,0.1,0.3,0.8,낮음,23시,일반 모니터링 및 계도
247,의창구,봉곡동 36-12,0.1,0.8,0.8,낮음,20시,일반 모니터링 및 계도
248,의창구,팔용동 125,0.1,0.8,0.8,낮음,19시,일반 모니터링 및 계도
249,의창구,서상동 평산로215번길,0.1,0.5,0.8,낮음,10시,일반 모니터링 및 계도
250,의창구,중동 448-16,0.1,0.5,0.8,낮음,0시,일반 모니터링 및 계도
251,의창구,서상동 평산로195번길,0.1,0.3,0.8,낮음,11시,일반 모니터링 및 계도
252,의창구,도계동 도계로95번길,0.1,0.4,0.8,낮음,10시,일반 모니터링 및 계도
253,의창구,중동 도계중사거리,0.1,0.4,0.8,낮음,14시,일반 모니터링 및 계도
254,의창구,북면 감계리 740-2,0.1,0.5,0.8,낮음,10시,일반 모니터링 및 계도
255,의창구,팔용동 사화로17번길,0.1,0.2,0.8,낮음,7시,일반 모니터링 및 계도
256,의창구,중동 480-23,0.1,0.1,0.8,낮음,13시,일반 모니터링 및 계도
257,의창구,서상동 449-1,0.1,0.9,0.8,낮음,7시,일반 모니터링 및 계도
258,의창구,팔용동아티움시티105동앞,0.1,0.4,0.8,낮음,10시,일반 모니터링 및 계도
259,의창구,도계동 태복산로15번길,0.1,0.2,0.7,낮음,15시,일반 모니터링 및 계도
260,의창구,소답동 166,0.1,0.3,0.7,낮음,18시,일반 모니터링 및 계도
261,의창구,북면 동전리 716-8,0.1,0.6,0.7,낮음,12시,일반 모니터링 및 계도
262,의창구,팔용동 35-1,0.1,0.6,0.7,낮음,16시,일반 모니터링 및 계도
263,의창구,북면 천수림아파트 주변,0.1,0.9,0.7,낮음,15시,일반 모니터링 및 계도
264,의창구,명서동 명지로63번길,0.1,0.1,0.7,낮음,14시,일반 모니터링 및 계도
265,의창구,팔용동 무역로581번길,0.1,1.9,0.7,낮음,10시,일반 모니터링 및 계도
266,의창구,도계동 392,0.1,0.7,0.7,낮음,20시,일반 모니터링 및 계도
267,의창구,중동 과학고등학교 주변,0.1,1.2,0.7,낮음,10시,일반 모니터링 및 계도
268,의창구,중동 771-4,0.1,0.3,0.7,낮음,12시,일반 모니터링 및 계도
269,의창구,서상동 309-5,0.1,0.3,0.7,낮음,15시,일반 모니터링 및 계도
270,의창구,봉곡동 502-12,0.1,0.3,0.7,낮음,18시,일반 모니터링 및 계도
271,의창구,봉곡동 사림로,0.1,0.3,0.7,낮음,18시,일반 모니터링 및 계도
272,의창구,소답동 163,0.1,0.5,0.7,낮음,20시,일반 모니터링 및 계도
273,의창구,북면 동전로45번길,0.1,0.7,0.7,낮음,15시,일반 모니터링 및 계도
274,의창구,용동 창원중앙역  주변,0.1,0.8,0.7,낮음,9시,일반 모니터링 및 계도
275,의창구,명서동 502-12,0.1,0.3,0.7,낮음,13시,일반 모니터링 및 계도
276,의창구,팔용동 522-4,0.1,3.0,0.7,낮음,8시,일반 모니터링 및 계도
277,의창구,도계동 하남천동길,0.1,0.3,0.7,낮음,9시,일반 모니터링 및 계도
278,의창구,팔용동 523-3,0.1,0.3,0.7,낮음,12시,일반 모니터링 및 계도
279,의창구,팔용동 남산로39번길,0.1,0.3,0.7,낮음,10시,일반 모니터링 및 계도
280,의창구,봉곡동 502-25,0.1,0.3,0.7,낮음,18시,일반 모니터링 및 계도
281,의창구,명곡동 채움마트  주변,0.1,0.3,0.7,낮음,20시,일반 모니터링 및 계도
282,의창구,감계 데시앙101동앞,0.1,0.3,0.7,낮음,15시,일반 모니터링 및 계도
283,의창구,중동 619-1,0.1,0.2,0.7,낮음,13시,일반 모니터링 및 계도
284,의창구,도계동 89-9,0.1,0.3,0.7,낮음,8시,일반 모니터링 및 계도
285,의창구,도계동 437,0.1,0.4,0.7,낮음,21시,일반 모니터링 및 계도
286,의창구,팔용동 123-2,0.1,0.7,0.7,낮음,20시,일반 모니터링 및 계도
287,의창구,도계동 허리편한신경외과  주변,0.1,0.3,0.7,낮음,18시,일반 모니터링 및 계도
288,의창구,사림동 509,0.1,0.5,0.7,낮음,8시,일반 모니터링 및 계도
289,의창구,북면 감계리 740-1,0.1,0.5,0.7,낮음,0시,일반 모니터링 및 계도
